0.036344	0.412998	
\	24.661024	55.826130
0.840863	1.215865	
\	9.607185	12.353028
1.613995	1.962565	
\	7.016562	14.007546
2.347479	2.699353	
\	40.772354	67.409401
3.062791	3.429533	
\	5.456913	38.288780
3.794623	4.161365	
\	8.472419	16.913952
4.645398	5.045180	
\	7.471689	11.600566
5.527561	5.928995	
\	6.187793	11.600566
6.417984	6.802898	
\	49.232147	52.425571
7.234067	7.615677	
\	8.472419	21.748158
8.005547	8.402025	
\	3.514688	5.810873
8.768767	9.173505	
\	4.812364	7.956336
9.571634	9.958200	
\	4.519226	14.007546
10.361286	10.746200	
\	9.607185	15.883669
11.159197	11.512724	
\	46.233261	55.826130
11.877813	12.251163	
\	38.288780	38.288780
12.588169	12.968127	
\	14.007546	26.260651
13.318349	13.673527	
\	21.748158	24.661024
14.063397	14.451615	
\	27.964029	33.766247
14.866265	15.261091	
\	12.353028	18.011063
15.705476	16.092042	
\	14.916140	19.179348
16.562859	16.939513	
\	2.125847	5.810873
17.463194	17.853064	
\	4.812364	9.021978
18.383353	18.799655	
\	5.810873	24.661024
19.184569	19.625650	
\	6.589160	16.913952
19.972568	20.377306	
\	2.410575	3.300596
20.763872	21.175217	
\	10.230349	23.158842
21.594823	21.983041	
\	33.766247	81.396095
22.352261	22.752043	
\	4.519226	9.021978
23.128696	23.531782	
\	11.600566	21.748158
23.845660	24.261962	
\	13.154299	23.158842
24.598968	25.002054	
\	2.910742	9.607185
25.398532	25.804921	
\	10.230349	15.883669
26.220397	26.616875	
\	14.916140	18.011063
27.056304	27.482518	
\	2.410575	3.300596
27.928556	28.351465	
\	3.985432	9.021978
28.731423	29.157637	
\	5.456913	10.230349
29.544202	29.970416	
\	3.742666	9.607185
30.356982	30.766676	
\	5.456913	11.600566
31.146634	31.546415	
\	3.514688	7.016562
31.870205	32.250163	
\	4.519226	12.353028
32.570650	32.983647	
\	3.985432	12.353028
33.254574	33.660963	
\	3.514688	15.883669
33.918674	34.334976	
\	1.996355	13.154299
34.685198	35.098195	
\	5.124515	18.011063
35.491369	35.891151	
\	3.514688	14.916140
36.300845	36.697322	
\	4.243944	27.964029
37.040936	37.467150	
\	3.742666	13.154299
37.804156	38.203938	
\	7.016562	7.956336
38.570680	38.957246	
\	5.810873	20.423403
39.274428	39.667602	
\	6.187793	27.964029
39.978176	40.371350	
\	5.456913	14.007546
40.675316	41.055274	
\	7.016562	18.011063
41.385672	41.762326	
\	4.243944	14.916140
42.066292	42.459466	
\	6.589160	15.883669
42.776648	43.173126	
\	7.956336	20.423403
43.470484	43.880178	
\	2.733439	19.179348
44.194056	44.587230	
\	4.812364	16.913952
44.914324	45.300890	
\	18.011063	31.709435
45.657720	46.077326	
\	2.410575	3.300596
46.401116	46.794290	
\	6.589160	13.154299
47.137904	47.527774	
\	4.243944	9.607185
47.887908	48.317425	
\	5.124515	8.472419
48.604872	49.007957	
\	4.243944	19.179348
49.278884	49.648930	
\	4.243944	24.661024
49.949592	50.332854	
\	2.910742	12.353028
50.633516	51.036602	
\	5.810873	15.883669
51.449600	51.799822	
\	3.514688	6.589160
52.295419	52.711721	
\	4.519226	15.883669
53.131326	53.557540	
\	13.154299	26.260651
53.957322	54.357103	
\	3.742666	21.748158
54.780013	55.156667	
\	6.589160	23.158842
55.563057	55.929799	
\	19.179348	33.766247
56.293237	56.686410	
\	2.910742	24.661024
56.970553	57.350511	
\	49.232147	49.232147
57.641261	58.014611	
\	26.260651	27.964029
58.341705	58.734879	
\	8.472419	19.179348
59.098317	59.484883	
\	21.748158	26.260651
59.934224	60.287750	
\	5.124515	23.158842
60.713964	61.107138	
\	9.607185	9.607185
61.487096	61.886877	
\	3.099546	6.589160
62.247011	62.656705	
\	13.154299	13.154299
63.030055	63.410013	
\	7.471689	10.230349
63.793275	64.176536	
\	3.985432	11.600566
64.549886	64.962884	
\	6.589160	15.883669
65.332930	65.722800	
\	4.243944	12.353028
66.056502	66.459588	
\	5.124515	15.883669
66.773466	67.186464	
\	3.742666	18.011063
67.454086	67.827436	
\	2.910742	9.607185
68.131402	68.511360	
\	2.410575	9.607185
68.775679	69.188676	
\	7.471689	15.883669
69.416651	69.839561	
\	7.016562	14.916140
70.143527	70.566437	
\	9.021978	13.154299
70.992650	71.392432	
\	10.893932	19.179348
71.825254	72.251467	
\	3.514688	14.916140
72.654553	73.051031	
\	5.124515	15.883669
73.487156	73.896850	
\	10.893932	27.964029
74.316456	74.703022	
\	10.230349	20.423403
75.142451	75.545537	
\	10.230349	11.600566
75.942015	76.374836	
\	1.996355	12.353028
76.688714	77.071976	
\	1.996355	5.124515
77.372639	77.795548	
\	3.514688	7.956336
78.086299	78.469560	
\	3.742666	5.810873
78.796655	79.179916	
\	-1.000000	4.243944
79.543354	79.933224	
\	1.996355	14.916140
80.329702	80.709660	
\	5.124515	19.179348
81.165609	81.555479	
\	3.742666	5.456913
82.001517	82.421122	
\	7.016562	15.883669
82.827512	83.207470	
\	1.874750	14.916140
